CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
JG168218,7200 S JEFFERY BLVD,SOUTH SHORE,APARTMENT
JG223877,3000 W LEXINGTON ST,EAST GARFIELD PARK,STREET
JE369608,5700 S LOOP DR,LOOP,PARK PROPERTY
JF417242,3500 W LAKE ST,EAST GARFIELD PARK,BAR OR TAVERN
JG223134,7400 S DORCHESTER AVE,SOUTH SHORE,STREET
HZ430019,8900 S JUSTINE ST,WASHINGTON HEIGHTS,STREET
JG222628,200 W 72ND ST,GREATER GRAND CROSSING,SIDEWALK
JF437336,1500 E 62ND ST,WOODLAWN,STREET
JF437358,6700 S WESTERN AVE,CHICAGO LAWN,STREET
JG153205,13000 S GREENWOOD AVE,RIVERDALE,CHA PARKING LOT
JE315100,7000 S INDIANA AVE,GREATER GRAND CROSSING,SIDEWALK
JG222638,5200 S UNIVERSITY AVE,HYDE PARK,STREET
JG223827,10200 S VAN VLISSINGEN RD,SOUTH DEERING,RESIDENCE
JF202059,2000 W 35TH ST,MCKINLEY PARK,STREET
JG223093,2700 W 25TH ST,SOUTH LAWNDALE,STREET
JF485010,600 N LAMON AVE,AUSTIN,RESIDENCE - YARD (FRONT / BACK)
JE269948,0 E CHESTNUT ST,NEAR NORTH SIDE,STREET
JF506424,2300 S HOMAN AVE,SOUTH LAWNDALE,RESIDENCE
JF516979,3400 W DOUGLAS BLVD,NORTH LAWNDALE,ALLEY
JG200844,700 N HOMAN AVE,HUMBOLDT PARK,STREET
JG223940,8100 S COTTAGE GROVE AVE,CHATHAM,SIDEWALK
JG168616,2000 W 69TH ST,WEST ENGLEWOOD,HOUSE
JG157679,10900 S VERNON AVE,ROSELAND,SIDEWALK
JG168771,6000 S INDIANA AVE,WASHINGTON PARK,STREET
JG175588,200 N KARLOV AVE,WEST GARFIELD PARK,PARK PROPERTY
JG187187,3800 W AUGUSTA BLVD,HUMBOLDT PARK,STREET
JE462975,9100 S STONY ISLAND AVE,CALUMET HEIGHTS,GAS STATION
JG169639,5500 W LE MOYNE ST,AUSTIN,STREET
HY551835,3800 W DIVISION ST,HUMBOLDT PARK,PARKING LOT/GARAGE(NON.RESID.)
JG205413,2200 S SAWYER AVE,SOUTH LAWNDALE,STREET
JG154291,1800 W 69TH ST,WEST ENGLEWOOD,HOUSE
JG225191,7900 S DR MARTIN LUTHER KING JR DR,CHATHAM,VEHICLE NON-COMMERCIAL
HZ332217,2200 W 18TH PL,LOWER WEST SIDE,SIDEWALK
JF153153,600 E 87TH PL,CHATHAM,STREET
A308084,1200 N CLEVELAND AVE,NEAR NORTH SIDE,STREET
JG216158,800 N ST LOUIS AVE,HUMBOLDT PARK,STREET
JD279494,1600 W JONQUIL TER,ROGERS PARK,PARKING LOT / GARAGE (NON RESIDENTIAL)
JE358615,13200 S ELLIS AVE,RIVERDALE,CHA PARKING LOT / GROUNDS
JG225286,3200 W ROOSEVELT RD,NORTH LAWNDALE,STREET
JG218402,5500 W RACE AVE,AUSTIN,SIDEWALK
JG232820,8900 S BRANDON AVE,SOUTH CHICAGO,STREET
HZ229273,7200 S ABERDEEN ST,ENGLEWOOD,SIDEWALK
JG231390,3600 W GRENSHAW ST,NORTH LAWNDALE,STREET
JF401498,7600 S HALSTED ST,AUBURN GRESHAM,GAS STATION
JG232816,3200 W CERMAK RD,SOUTH LAWNDALE,STREET
JF201938,1500 E 61ST ST,WOODLAWN,YARD
JE447754,1100 S KEELER AVE,NORTH LAWNDALE,STREET
JG170543,5200 S SPAULDING AVE,GAGE PARK,SCHOOL YARD
JF349714,4600 S LAKE PARK AVE,KENWOOD,STREET
JG170363,4800 N WINTHROP AVE,UPTOWN,ALLEY
HY553130,6400 S ARTESIAN AVE,CHICAGO LAWN,SIDEWALK
JF262824,7600 S MARQUETTE AVE,SOUTH SHORE,SIDEWALK
JC357553,3100 W POPE JOHN PAUL II DR,BRIGHTON PARK,SIDEWALK
JG225058,0 E WASHINGTON ST,LOOP,STREET
