CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
HT366278,8200 S RIDGELAND AVE,AVALON PARK,RESIDENCE
HT366353,200 S CALIFORNIA AVE,EAST GARFIELD PARK,SIDEWALK
HV408051,300 N LATROBE AVE,AUSTIN,STREET
HV409766,1200 S KOLIN AVE,NORTH LAWNDALE,PORCH
HV411096,700 S INDEPENDENCE BLVD,EAST GARFIELD PARK,STREET
HT366843,3700 N LOCKWOOD AVE,PORTAGE PARK,SIDEWALK
HV412015,600 N AVERS AVE,HUMBOLDT PARK,STREET
HV417108,5500 S WABASH AVE,WASHINGTON PARK,STREET
HV420772,0 E 56TH ST,WASHINGTON PARK,STREET
HV422164,6800 S PRAIRIE AVE,GREATER GRAND CROSSING,STREET
HT368553,4100 N KIMBALL AVE,IRVING PARK,SIDEWALK
HV429244,5700 S ELIZABETH ST,WEST ENGLEWOOD,STREET
HT368640,8600 S MORGAN ST,AUBURN GRESHAM,STREET
HV429742,11600 S YALE AVE,WEST PULLMAN,STREET
HV430789,4800 W JACKSON BLVD,AUSTIN,ABANDONED BUILDING
HT369253,400 W 104TH ST,ROSELAND,SIDEWALK
HV432302,6200 S LAFLIN ST,WEST ENGLEWOOD,STREET
HV434932,500 S KILPATRICK AVE,AUSTIN,AUTO
HV435376,11500 S WENTWORTH AVE,WEST PULLMAN,ALLEY
HV435985,7400 S PEORIA ST,ENGLEWOOD,AUTO
HV436957,3000 S PULASKI RD,SOUTH LAWNDALE,AUTO
HT372568,1600 N MONITOR AVE,AUSTIN,SIDEWALK
HV442412,700 E 50TH ST,GRAND BOULEVARD,YARD
HV445785,4900 S DREXEL BLVD,KENWOOD,STREET
HV460852,5400 S WABASH AVE,WASHINGTON PARK,STREET
HV461315,6900 S PRINCETON AVE,GREATER GRAND CROSSING,STREET
HV466421,11600 S WALLACE ST,WEST PULLMAN,AUTO
HV473041,5600 S MICHIGAN AVE,WASHINGTON PARK,STREET
HV476066,12200 S ADA ST,WEST PULLMAN,GARAGE
HV479792,5900 S NORMAL BLVD,ENGLEWOOD,STREET
HV483067,6800 S CALUMET AVE,GREATER GRAND CROSSING,ALLEY
HV484609,200 W 106TH ST,ROSELAND,STREET
HV486460,0 W 122ND ST,WEST PULLMAN,STREET
HV490328,11800 S LAFAYETTE AVE,WEST PULLMAN,STREET
HV490538,400 W 120TH ST,WEST PULLMAN,STREET
HT375910,1800 S ALLPORT ST,LOWER WEST SIDE,SIDEWALK
HT375982,1300 W HASTINGS ST,NEAR WEST SIDE,CHA PARKING LOT
HV496069,3800 W CONGRESS PKWY,WEST GARFIELD PARK,STREET
HV499942,11400 S YALE AVE,ROSELAND,STREET
HT376093,1400 E 76TH ST,SOUTH SHORE,SIDEWALK
HV511426,5800 S ABERDEEN ST,ENGLEWOOD,STREET
HT376178,8500 S ASHLAND AVE,AUBURN GRESHAM,CAR WASH
HV515941,7100 S EGGLESTON AVE,ENGLEWOOD,STREET
HV516961,6100 S ASHLAND AVE,WEST ENGLEWOOD,STREET
HV517611,5300 S CALUMET AVE,WASHINGTON PARK,APARTMENT
HV525043,7300 S WINCHESTER AVE,WEST ENGLEWOOD,ALLEY
HV526828,0 S PULASKI RD,WEST GARFIELD PARK,STREET
HV527778,0 N CENTRAL AVE,AUSTIN,STREET
HV538464,6800 S HALSTED ST,ENGLEWOOD,ALLEY
HT377730,8700 S STONY ISLAND AVE,CALUMET HEIGHTS,STREET
HV541857,500 N LAMON AVE,AUSTIN,STREET
HT378751,7100 S GREENWOOD AVE,GREATER GRAND CROSSING,STREET
HV543426,5700 S CALUMET AVE,WASHINGTON PARK,AUTO
HV546172,5600 S SHIELDS AVE,ENGLEWOOD,STREET
HV559550,11300 S STEWART AVE,ROSELAND,STREET
HT379087,2800 N LEAVITT ST,NORTH CENTER,STREET
HV564446,1200 S KOLIN AVE,NORTH LAWNDALE,STREET
HV565069,100 N LAPORTE AVE,AUSTIN,STREET
HV565520,2500 S TRUMBULL AVE,SOUTH LAWNDALE,STREET
HT380180,1100 W 18TH PL,LOWER WEST SIDE,SIDEWALK
HV565631,6600 S BELL AVE,CHICAGO LAWN,STREET
HV571175,4500 S HALSTED ST,NEW CITY,PORCH
HV575223,5500 S EMERALD AVE,ENGLEWOOD,HALLWAY
HT380459,600 E 45TH ST,GRAND BOULEVARD,STREET
HT380523,8400 S HOLLAND RD,CHATHAM,PARKING LOT/GARAGE(NON.RESID.)
HV577248,300 E 71ST ST,GREATER GRAND CROSSING,CHURCH PROPERTY
HV577646,4300 W VAN BUREN ST,WEST GARFIELD PARK,VACANT LOT
HT380660,1800 S ALLPORT ST,LOWER WEST SIDE,STREET
HV583420,4200 S WELLS ST,FULLER PARK,APARTMENT
HV583831,6100 S MORGAN ST,ENGLEWOOD,STREET
HV583859,1200 S SAWYER AVE,NORTH LAWNDALE,STREET
HV584635,4800 W FULTON ST,AUSTIN,STREET
HT382223,0 E 61ST ST,WASHINGTON PARK,SIDEWALK
HV596086,1000 S AUSTIN BLVD,AUSTIN,STREET
HV606964,5800 W SUPERIOR ST,AUSTIN,STREET
HV613632,0 N LONG AVE,AUSTIN,HOUSE
HV613848,3500 W LAKE ST,EAST GARFIELD PARK,STREET
HV616590,2000 W 69TH ST,WEST ENGLEWOOD,STREET
HV620483,4200 W 21ST PL,NORTH LAWNDALE,APARTMENT
HW101960,12400 S UNION AVE,WEST PULLMAN,AUTO
HW105881,5500 S LOOMIS BLVD,WEST ENGLEWOOD,STREET
HW106184,4800 W GLADYS AVE,AUSTIN,STREET
HW108847,4000 W WILCOX ST,WEST GARFIELD PARK,HALLWAY
HW111381,100 S SPRINGFIELD AVE,WEST GARFIELD PARK,ALLEY
HW112637,6300 S HONORE ST,WEST ENGLEWOOD,STREET
HW112875,400 S PULASKI RD,WEST GARFIELD PARK,STREET
HW113783,2600 S RIDGEWAY AVE,SOUTH LAWNDALE,STREET
HW115382,1300 S HARDING AVE,NORTH LAWNDALE,AUTO
HT387722,2000 N MILWAUKEE AVE,LOGAN SQUARE,STREET
HW116450,5200 W JACKSON BLVD,AUSTIN,GAS STATION DRIVE/PROP.
HT387757,8900 S MARSHFIELD AVE,WASHINGTON HEIGHTS,SIDEWALK
HW117848,1300 S CHRISTIANA AVE,NORTH LAWNDALE,VACANT LOT
HW131095,5800 S SHIELDS AVE,ENGLEWOOD,STREET
HW132598,4200 W CONGRESS PKWY,WEST GARFIELD PARK,STREET
HW132962,7000 S CARPENTER ST,ENGLEWOOD,STREET
HW136079,7400 S CHAMPLAIN AVE,GREATER GRAND CROSSING,STREET
HW142848,4100 W 30TH ST,SOUTH LAWNDALE,STREET
HW148417,900 W 69TH ST,ENGLEWOOD,STREET
HW161400,9100 S ADA ST,WASHINGTON HEIGHTS,STREET
HW167787,4800 W FERDINAND ST,AUSTIN,STREET
HW168342,100 S CICERO AVE,AUSTIN,PARKING LOT
HW196147,2800 S SPAULDING AVE,SOUTH LAWNDALE,STREET
HW203311,600 N MONTICELLO AVE,HUMBOLDT PARK,HOUSE
HT390281,4800 S PRAIRIE AVE,GRAND BOULEVARD,ALLEY
HW214698,7400 S EBERHART AVE,GREATER GRAND CROSSING,STREET
HW218231,100 W 59TH ST,ENGLEWOOD,STREET
HT390588,1300 W 96TH ST,WASHINGTON HEIGHTS,STREET
HW223608,4000 S WABASH AVE,GRAND BOULEVARD,HOUSE
HW227786,12000 S NORMAL AVE,WEST PULLMAN,STREET
HW243737,5000 S EVANS AVE,GRAND BOULEVARD,YARD
HW246147,11800 S HARVARD AVE,WEST PULLMAN,STREET
HW248197,600 W 117TH ST,WEST PULLMAN,STREET
HW254987,1900 S DRAKE AVE,NORTH LAWNDALE,ALLEY
HW257760,300 E KENSINGTON AVE,WEST PULLMAN,HALLWAY
HW260281,7200 S ASHLAND AVE,WEST ENGLEWOOD,ABANDONED BUILDING
HW266217,10200 S GREEN ST,WASHINGTON HEIGHTS,STREET
HT393544,7600 S BENNETT AVE,SOUTH SHORE,"SCHOOL, PUBLIC, GROUNDS"
HT394252,6000 S PRAIRIE AVE,WASHINGTON PARK,VACANT LOT/LAND
HW271299,6500 S GREEN ST,ENGLEWOOD,STREET
HW274830,6300 S MAY ST,ENGLEWOOD,STREET
HW279192,200 N MAYFIELD AVE,AUSTIN,STREET
HW279403,1200 S KOLIN AVE,NORTH LAWNDALE,STREET
HT394896,0 E 113TH PL,ROSELAND,RESIDENCE PORCH/HALLWAY
HT395512,9000 S YATES BLVD,CALUMET HEIGHTS,SIDEWALK
HT395662,6600 N NEWGARD AVE,ROGERS PARK,ALLEY
HW280661,6800 S LOWE AVE,ENGLEWOOD,PARK PROPERTY
HW280946,300 S CICERO AVE,AUSTIN,STREET
HW282916,9600 S HALSTED ST,WASHINGTON HEIGHTS,HOUSE
HW283616,3100 S RHODES AVE,DOUGLAS,PARK PROPERTY
HW286248,7100 S OAKLEY AVE,CHICAGO LAWN,AUTO
HW287201,1900 S SPAULDING AVE,NORTH LAWNDALE,APARTMENT
HW289762,400 N CENTRAL AVE,AUSTIN,STREET
HT399272,900 W 111TH ST,MORGAN PARK,SIDEWALK
HW295351,12100 S HALSTED ST,WEST PULLMAN,STREET
HW295447,0 W 107TH ST,ROSELAND,STREET
HW295883,1000 W 75TH ST,AUBURN GRESHAM,STREET
HW295908,7000 S NORMAL BLVD,ENGLEWOOD,PORCH
HW302389,6800 S DR MARTIN LUTHER KING JR DR,GREATER GRAND CROSSING,APARTMENT
HW305567,400 W 115TH ST,WEST PULLMAN,PORCH
HW309299,3400 W LAKE ST,EAST GARFIELD PARK,STREET
HW311539,5200 W QUINCY ST,AUSTIN,AUTO
HW312816,5700 S SANGAMON ST,ENGLEWOOD,STREET
HW314876,2000 W 70TH PL,WEST ENGLEWOOD,STREET
HW316215,6400 S NORMAL BLVD,ENGLEWOOD,STREET
HW319182,5500 W QUINCY ST,AUSTIN,STREET
HW320604,2500 S RIDGEWAY AVE,SOUTH LAWNDALE,STREET
HW320694,3100 S PULASKI RD,SOUTH LAWNDALE,AUTO
HW320715,7400 S PARNELL AVE,ENGLEWOOD,STREET
HW320735,200 S KEELER AVE,WEST GARFIELD PARK,STREET
HW328889,4400 W ADAMS ST,WEST GARFIELD PARK,STREET
HW340172,100 W 116TH ST,WEST PULLMAN,STREET
HW344421,800 W 99TH ST,WASHINGTON HEIGHTS,STREET
HW346348,8700 S LOOMIS ST,AUBURN GRESHAM,STREET
HT404268,0 N WASHTENAW AVE,EAST GARFIELD PARK,SIDEWALK
HW347684,7300 S WABASH AVE,GREATER GRAND CROSSING,APARTMENT
HW348220,6200 S MARSHFIELD AVE,WEST ENGLEWOOD,YARD
HT404329,9100 S ASHLAND AVE,WASHINGTON HEIGHTS,SIDEWALK
HW353414,3900 W CONGRESS PKWY,WEST GARFIELD PARK,AUTO
HW353608,600 N LAWNDALE AVE,HUMBOLDT PARK,VACANT LOT
HW353625,1600 S DRAKE AVE,NORTH LAWNDALE,YARD
HW355935,8700 S THROOP ST,AUBURN GRESHAM,STREET
HT405842,3700 W MONTROSE AVE,IRVING PARK,RESIDENCE PORCH/HALLWAY
HW358706,700 N CENTRAL AVE,AUSTIN,YARD
HW359018,5200 W ADAMS ST,AUSTIN,HOUSE
HW362757,4000 W CULLERTON ST,NORTH LAWNDALE,STREET
HW365697,5700 S CARPENTER ST,ENGLEWOOD,PORCH
HW368037,1300 S AVERS AVE,NORTH LAWNDALE,STREET
HW371795,7100 S ASHLAND AVE,WEST ENGLEWOOD,AUTO
HT409284,8500 S BISHOP ST,AUBURN GRESHAM,RESIDENCE PORCH/HALLWAY
HW376176,11600 S LAFLIN ST,WEST PULLMAN,GARAGE
HW379355,3200 W ROOSEVELT RD,NORTH LAWNDALE,PARKING LOT
HW383319,1500 S KOMENSKY AVE,NORTH LAWNDALE,STREET
HW384844,1800 W GARFIELD BLVD,WEST ENGLEWOOD,ALLEY
HW384855,11700 S NORMAL AVE,WEST PULLMAN,STREET
HW390896,3600 S MICHIGAN AVE,DOUGLAS,CHA PARKING LOT
HW394643,6600 S CLAREMONT AVE,CHICAGO LAWN,STREET
HW395269,100 E 120TH ST,WEST PULLMAN,STREET
HW396716,3300 W DOUGLAS BLVD,NORTH LAWNDALE,APARTMENT
HW396733,5800 S SANGAMON ST,ENGLEWOOD,STREET
HW402132,2900 S STATE ST,DOUGLAS,STREET
HW405390,2800 S KILDARE AVE,SOUTH LAWNDALE,HOUSE
HT412497,8200 S EAST END AVE,AVALON PARK,YARD
HT412610,11100 S HOMEWOOD AVE,MORGAN PARK,STREET
HW409459,0 E 120TH PL,WEST PULLMAN,STREET
HW410923,5600 S RACINE AVE,WEST ENGLEWOOD,APARTMENT
HW412358,0 S PARKSIDE AVE,AUSTIN,STREET
HW412363,1200 S LAWNDALE AVE,NORTH LAWNDALE,STREET
HW412371,800 S LAWNDALE AVE,EAST GARFIELD PARK,PARK PROPERTY
HW413572,1300 W 90TH ST,WASHINGTON HEIGHTS,AUTO
HW415332,6200 S ASHLAND AVE,WEST ENGLEWOOD,PARKING LOT
HW418070,6700 S SANGAMON ST,ENGLEWOOD,STREET
HW419212,1100 W 88TH ST,AUBURN GRESHAM,HOUSE
HW422513,4000 W WILCOX ST,WEST GARFIELD PARK,VACANT LOT
HW424195,700 W 61ST PL,ENGLEWOOD,ALLEY
HW424540,3300 W HARRISON ST,EAST GARFIELD PARK,GAS STATION DRIVE/PROP.
HW425415,6200 S STATE ST,GREATER GRAND CROSSING,STREET
HW426623,1600 W 59TH ST,WEST ENGLEWOOD,STREET
HW429716,4000 S CALUMET AVE,GRAND BOULEVARD,YARD
HT415718,5000 S WABASH AVE,GRAND BOULEVARD,STREET
HT415819,8800 S INDIANA AVE,CHATHAM,"SCHOOL, PUBLIC, GROUNDS"
HT415864,1700 E 71ST ST,SOUTH SHORE,VEHICLE NON-COMMERCIAL
HW432731,12200 S ABERDEEN ST,WEST PULLMAN,HOUSE
HW433733,6400 S MORGAN ST,ENGLEWOOD,HALLWAY
HT417161,3600 N DAMEN AVE,NORTH CENTER,STREET
HW434681,4400 W WILCOX ST,WEST GARFIELD PARK,APARTMENT
HW434712,10500 S LA SALLE ST,ROSELAND,PORCH
HT417498,5300 S MARYLAND AVE,HYDE PARK,STREET
HT418318,1100 E 72ND ST,GREATER GRAND CROSSING,APARTMENT
HW434870,5700 S PRINCETON AVE,ENGLEWOOD,ALLEY
HW437812,5100 S CALUMET AVE,WASHINGTON PARK,PORCH
HW459749,6900 S VERNON AVE,GREATER GRAND CROSSING,YARD
HW460198,6600 S HONORE ST,WEST ENGLEWOOD,STREET
HW460503,6000 S HALSTED ST,ENGLEWOOD,ALLEY
HT420956,8900 S COTTAGE GROVE AVE,CHATHAM,STREET
HT421236,100 W 110TH PL,ROSELAND,STREET
HW460628,1200 S KEDVALE AVE,NORTH LAWNDALE,STREET
HW462501,7200 S WENTWORTH AVE,GREATER GRAND CROSSING,STREET
HW464234,3500 S RHODES AVE,DOUGLAS,APARTMENT
HW467909,6000 S HONORE ST,WEST ENGLEWOOD,APARTMENT
HW471427,900 W 70TH ST,ENGLEWOOD,ALLEY
HW479960,400 S CENTRAL AVE,AUSTIN,STREET
HW480972,11700 S MORGAN ST,WEST PULLMAN,STREET
HW481455,11000 S VERNON AVE,ROSELAND,STREET
HT422664,1000 W MAXWELL ST,NEAR WEST SIDE,STREET
HW485498,600 N SPRINGFIELD AVE,HUMBOLDT PARK,STREET
HW487969,4400 W ADAMS ST,WEST GARFIELD PARK,ALLEY
HT423274,7800 S HOMAN AVE,ASHBURN,RESIDENTIAL YARD (FRONT/BACK)
HW490952,300 S CICERO AVE,AUSTIN,GAS STATION DRIVE/PROP.
HW495229,10500 S LAFAYETTE AVE,ROSELAND,YARD
HT424016,2200 S PAULINA ST,LOWER WEST SIDE,SIDEWALK
HW508458,600 W 89TH ST,AUBURN GRESHAM,STREET
HW509988,1200 W 72ND PL,WEST ENGLEWOOD,STREET
HW510593,1500 S CHRISTIANA AVE,NORTH LAWNDALE,AUTO
HT424252,12000 S DOTY AVE W,RIVERDALE,STREET
HT424303,1800 W 17TH ST,LOWER WEST SIDE,VEHICLE NON-COMMERCIAL
HT424315,900 N RICHMOND ST,WEST TOWN,SIDEWALK
HW511165,5300 W ADAMS ST,AUSTIN,APARTMENT
HW514163,12100 S UNION AVE,WEST PULLMAN,STREET
HT424397,2700 N LAWNDALE AVE,LOGAN SQUARE,STREET
HW515619,100 E 117TH PL,WEST PULLMAN,HOUSE
HT425311,4700 S WENTWORTH AVE,FULLER PARK,STREET
HW517415,4200 W WEST END AVE,WEST GARFIELD PARK,ALLEY
HW518213,6500 S HERMITAGE AVE,WEST ENGLEWOOD,STREET
HW518469,3300 W VAN BUREN ST,EAST GARFIELD PARK,VACANT LOT
HW519165,6500 S BISHOP ST,WEST ENGLEWOOD,STAIRWELL
HW523341,8700 S LOOMIS ST,AUBURN GRESHAM,STREET
HW523463,1400 W 73RD PL,WEST ENGLEWOOD,STREET
HW529477,5900 S WINCHESTER AVE,WEST ENGLEWOOD,ABANDONED BUILDING
HW531240,4200 W LAKE ST,WEST GARFIELD PARK,STREET
HW531925,800 W 59TH ST,ENGLEWOOD,RETAIL STORE
HW533683,3000 S KARLOV AVE,SOUTH LAWNDALE,STREET
HW542119,2900 W CERMAK RD,SOUTH LAWNDALE,APARTMENT
HW554687,11100 S VERNON AVE,ROSELAND,STREET
HW557662,11600 S BISHOP ST,WEST PULLMAN,STREET
HW563459,300 W 60TH PL,ENGLEWOOD,STREET
HW565869,11200 S ADA ST,MORGAN PARK,PARK PROPERTY
HW568137,0 E 102ND PL,ROSELAND,STREET
HW570213,300 N CENTRAL AVE,AUSTIN,HALLWAY
HT434101,300 E 61ST ST,WASHINGTON PARK,SIDEWALK
HT434168,300 S CALIFORNIA AVE,EAST GARFIELD PARK,PARKING LOT/GARAGE(NON.RESID.)
HT434322,1500 W 87TH ST,AUBURN GRESHAM,BAR OR TAVERN
HT434361,2800 N KILDARE AVE,HERMOSA,ALLEY
HW571408,4300 W CULLERTON ST,NORTH LAWNDALE,STREET
HW574749,2600 S TRUMBULL AVE,SOUTH LAWNDALE,STREET
HT434430,2100 S ASHLAND AVE,LOWER WEST SIDE,STREET
HW576849,7700 S STEWART AVE,GREATER GRAND CROSSING,STREET
HW577067,5600 W CHICAGO AVE,AUSTIN,STREET
HT435767,3500 W 83RD PL,ASHBURN,SIDEWALK
HW579364,5500 S HALSTED ST,ENGLEWOOD,STREET
HT435948,11500 S WATKINS AVE,MORGAN PARK,STREET
HW579790,7900 S LAFAYETTE AVE,CHATHAM,STREET
HW581677,400 W 117TH ST,WEST PULLMAN,STREET
HW583350,1200 W 73RD PL,WEST ENGLEWOOD,HALLWAY
HW584825,1600 S CENTRAL PARK AVE,NORTH LAWNDALE,APARTMENT
HW584861,700 S KILBOURN AVE,WEST GARFIELD PARK,STREET
HW585094,5900 W MIDWAY PARK,AUSTIN,PORCH
HW586359,4500 S INDIANA AVE,GRAND BOULEVARD,STREET
HW590546,7100 S VINCENNES AVE,GREATER GRAND CROSSING,PARKING LOT
HX102390,300 W 114TH ST,ROSELAND,STREET
HX104147,500 E 38TH PL,DOUGLAS,HOUSE
HX114974,3900 W CONGRESS PKWY,WEST GARFIELD PARK,STREET
HX115965,3200 W 23RD ST,SOUTH LAWNDALE,STREET
HX116487,7000 S HALSTED ST,ENGLEWOOD,STREET
HT437288,8400 S JEFFERY BLVD,AVALON PARK,RESIDENCE
HX118283,4900 W HURON ST,AUSTIN,STREET
HX123338,7000 S CLAREMONT AVE,CHICAGO LAWN,APARTMENT
HX126764,5100 S UNION AVE,NEW CITY,TAVERN
HX126814,3800 W 26TH ST,SOUTH LAWNDALE,STREET
HX128524,4100 W 30TH ST,SOUTH LAWNDALE,STREET
HX144647,4500 W MONROE ST,WEST GARFIELD PARK,STREET
HX150373,300 N CENTRAL AVE,AUSTIN,ALLEY
HX150821,900 W 63RD PKWY,ENGLEWOOD,NURSING HOME
HT438423,300 N STATE ST,NEAR NORTH SIDE,BRIDGE
HT438958,100 E 113TH ST,ROSELAND,STREET
HX158733,0 S MASON AVE,AUSTIN,PORCH
HX159580,600 N HOMAN AVE,HUMBOLDT PARK,ALLEY
HT439516,600 E 92ND ST,CHATHAM,STREET
HX161133,200 N LATROBE AVE,AUSTIN,AUTO
HX166613,900 S SPRINGFIELD AVE,WEST GARFIELD PARK,APARTMENT
HX168795,2300 W 57TH ST,GAGE PARK,STREET
HX169342,400 W 117TH ST,WEST PULLMAN,PORCH
HX173947,8800 S MAY ST,AUBURN GRESHAM,HOUSE
HX184454,4000 W VAN BUREN ST,WEST GARFIELD PARK,STREET
HX186536,2000 W 67TH PL,WEST ENGLEWOOD,STREET
HT441537,7800 S OGLESBY AVE,SOUTH SHORE,STREET
HX187389,3500 S RHODES AVE,DOUGLAS,APARTMENT
HT442230,7900 S SOUTH CHICAGO AVE,SOUTH CHICAGO,PARKING LOT/GARAGE(NON.RESID.)
HX190919,700 N TRUMBULL AVE,HUMBOLDT PARK,HOUSE
HT442589,4800 W WABANSIA AVE,AUSTIN,STREET
HT442650,8100 S SOUTH CHICAGO AVE,AVALON PARK,STREET
HT443113,1700 W 21ST ST,LOWER WEST SIDE,SIDEWALK
HX193163,1200 W 70TH ST,WEST ENGLEWOOD,ALLEY
HX193886,4300 W JACKSON BLVD,WEST GARFIELD PARK,ALLEY
HX199577,7000 S VINCENNES AVE,GREATER GRAND CROSSING,STREET
HX211472,4300 W WILCOX ST,WEST GARFIELD PARK,APARTMENT
HX217559,5600 S ELIZABETH ST,WEST ENGLEWOOD,ALLEY
HX228931,5200 W CONGRESS PKWY,AUSTIN,YARD
HX230593,2700 S SAWYER AVE,SOUTH LAWNDALE,STREET
HX235637,1500 S ST LOUIS AVE,NORTH LAWNDALE,STREET
HT445546,8700 S PRINCETON AVE,ROSELAND,STREET
HX237508,1300 W 116TH ST,WEST PULLMAN,STREET
HT445702,1900 W NORTH AVE,WEST TOWN,SIDEWALK
HX237813,0 S CENTRAL AVE,AUSTIN,STREET
HX238998,4100 W 26TH ST,SOUTH LAWNDALE,STREET
HX239919,4000 W MAYPOLE AVE,WEST GARFIELD PARK,STREET
HX247733,400 N LECLAIRE AVE,AUSTIN,STREET
HX248048,9200 S EMERALD AVE,WASHINGTON HEIGHTS,GARAGE
HX249844,5800 S MORGAN ST,ENGLEWOOD,STREET
HT448314,2400 N LOWELL AVE,HERMOSA,STREET
HX251021,1500 S CENTRAL PARK AVE,NORTH LAWNDALE,STREET
HT449519,3500 W IRVING PARK RD,IRVING PARK,STREET
HX255761,4100 W 28TH ST,SOUTH LAWNDALE,STREET
HT449981,11000 S STATE ST,ROSELAND,STREET
HT451750,7200 S CONSTANCE AVE,SOUTH SHORE,SIDEWALK
HT452142,700 E 79TH ST,GREATER GRAND CROSSING,STREET
HX256233,4100 W ADAMS ST,WEST GARFIELD PARK,GANGWAY
HX257576,300 W 116TH ST,WEST PULLMAN,STREET
HX265512,200 N PINE AVE,AUSTIN,AUTO
HX265924,3400 W MADISON ST,EAST GARFIELD PARK,STREET
HX266832,3900 W POLK ST,WEST GARFIELD PARK,ALLEY
HX270458,700 N SPRINGFIELD AVE,HUMBOLDT PARK,AUTO
HT454797,200 E 51ST ST,GRAND BOULEVARD,STREET
HM677389,1600 E 50TH ST,KENWOOD,APARTMENT
HX272590,10700 S INDIANA AVE,ROSELAND,STREET
HT454963,700 E 75TH ST,GREATER GRAND CROSSING,SIDEWALK
HX272763,3900 S INDIANA AVE,GRAND BOULEVARD,YARD
HX274827,6900 S EMERALD AVE,ENGLEWOOD,STREET
HT455021,700 N CLARK ST,NEAR NORTH SIDE,SIDEWALK
HX276332,3300 W MAYPOLE AVE,EAST GARFIELD PARK,STREET
HX277235,5200 W LAKE ST,AUSTIN,STREET
HX281542,5700 S LA SALLE ST,ENGLEWOOD,STREET
HT456467,4300 S EVANS AVE,GRAND BOULEVARD,SIDEWALK
HX282926,4200 S PRINCETON AVE,FULLER PARK,ALLEY
HX284714,500 N LAVERGNE AVE,AUSTIN,STREET
HX289940,4900 W WEST END AVE,AUSTIN,STREET
HX290648,7000 S MORGAN ST,ENGLEWOOD,PORCH
HT456739,7500 S MORGAN ST,AUBURN GRESHAM,RESIDENTIAL YARD (FRONT/BACK)
HX293138,100 N KEELER AVE,WEST GARFIELD PARK,APARTMENT
HX293281,5600 S WABASH AVE,WASHINGTON PARK,ALLEY
HT457954,800 E 42ND ST,OAKLAND,STREET
HX294341,4600 W JACKSON BLVD,AUSTIN,STREET
HX297152,7300 S PERRY AVE,GREATER GRAND CROSSING,STREET
HX297917,200 W 72ND ST,GREATER GRAND CROSSING,STREET
HT458194,300 E 61ST ST,WASHINGTON PARK,STREET
HT458310,5200 W ADDISON ST,PORTAGE PARK,ALLEY
HX302570,1300 S CENTRAL PARK AVE,NORTH LAWNDALE,STREET
HT458933,8300 S ASHLAND AVE,AUBURN GRESHAM,PARKING LOT/GARAGE(NON.RESID.)
HX305013,10400 S MORGAN ST,WASHINGTON HEIGHTS,AUTO
HX307594,3900 W WASHINGTON BLVD,WEST GARFIELD PARK,AUTO
HX313760,7200 S WENTWORTH AVE,GREATER GRAND CROSSING,STREET
HT460501,11300 S CALUMET AVE,ROSELAND,STREET
HX315796,1600 W 69TH ST,WEST ENGLEWOOD,AUTO
HX319038,6500 S SANGAMON ST,ENGLEWOOD,STREET
HX319611,100 N LEAMINGTON AVE,AUSTIN,STREET
HX325973,600 E 50TH PL,GRAND BOULEVARD,STREET
HX327623,7100 S WINCHESTER AVE,WEST ENGLEWOOD,STREET
HX329896,3800 W MONROE ST,WEST GARFIELD PARK,PORCH
HX330587,2000 W 63RD ST,WEST ENGLEWOOD,STREET
HT462006,5000 W 45TH ST,GARFIELD RIDGE,SIDEWALK
HX332730,6500 S SEELEY AVE,WEST ENGLEWOOD,STREET
HX332990,10400 S NORMAL AVE,ROSELAND,STREET
HX333887,5200 W LAKE ST,AUSTIN,STREET
HX334112,300 W 116TH ST,WEST PULLMAN,PORCH
HT464554,7500 S SANGAMON ST,AUBURN GRESHAM,RESIDENCE PORCH/HALLWAY
HX334345,10900 S THROOP ST,MORGAN PARK,VACANT LOT
HX334350,9600 S SANGAMON ST,WASHINGTON HEIGHTS,STREET
HX335528,2100 W 69TH ST,WEST ENGLEWOOD,STREET
HX337207,9200 S EGGLESTON AVE,WASHINGTON HEIGHTS,STREET
HX341290,5200 W QUINCY ST,AUSTIN,PORCH
HT467062,10600 S YATES AVE,SOUTH DEERING,STREET
HX344157,1500 W 72ND ST,WEST ENGLEWOOD,STREET
HX349583,0 E 43RD ST,GRAND BOULEVARD,STREET
HT467824,600 S ASHLAND AVE,NEAR WEST SIDE,STREET
HX350252,6800 S LAFLIN ST,WEST ENGLEWOOD,VACANT LOT
HX350804,3900 W GLADYS AVE,WEST GARFIELD PARK,APARTMENT
HT468821,8000 S CHAPPEL AVE,SOUTH CHICAGO,PARKING LOT/GARAGE(NON.RESID.)
HX351135,0 N LARAMIE AVE,AUSTIN,AUTO
HX354816,1200 W 72ND PL,WEST ENGLEWOOD,ALLEY
HT469282,600 W 25TH PL,BRIDGEPORT,SIDEWALK
HX357920,11600 S MICHIGAN AVE,WEST PULLMAN,GAS STATION DRIVE/PROP.
HX361779,500 E 47TH ST,GRAND BOULEVARD,STREET
HX370312,1900 S KILDARE AVE,NORTH LAWNDALE,STREET
HX373941,5500 S EMERALD AVE,ENGLEWOOD,STREET
HX375246,7200 S MORGAN ST,ENGLEWOOD,AUTO
HT469506,1000 W MAXWELL ST,NEAR WEST SIDE,AUTO
HX382324,5900 S LAFLIN ST,WEST ENGLEWOOD,STREET
